route_id,route_short_name,route_long_name,route_desc,route_type
32770,297-F,KR Market To Bhovipalya,-1,3
32771,293-N,Shivajinagara Bus Station To K Narayanapura Main Bus Stand,-1,3
32772,293-N,K Narayanapura Main Bus Stand To Shivajinagara Bus Station,-1,3
32790,406,Kempegowda Bus Station To Nelamangala Bus Station,-1,3
32798,JLO-VSD-KBS,Judicial Layout To Kempegowda Bus Station,-1,3
32819,407-B,Yalahanka Old Town To Yalahanka Old Town,-1,3
32827,YHK-MSP-VTTMC,Yalahanka Old Town To Vijayanagara TTMC,-1,3
32854,176-E,BCC Layout To Kaval Byrasandra,-1,3
32868,215-H,Kempegowda Bus Station To Jambu Savari Dinne,-1,3
32871,D34G-KBS,Depot-34 Gate To Kempegowda Bus Station,-1,3
32872,369-J,CK Palya To Kempegowda Bus Station,-1,3
32873,213-E,KR Market To Thokkathimmana Doddy,-1,3
32874,213-E,Thokkathimmana Doddy To KR Market,-1,3
32875,KBS-AGS-PPLO,Kempegowda Bus Station To Poornaprajna Layout,-1,3
32893,ELC-UTH-CKA,Electronic City To Channammanakere Achukattu,-1,3
32899,KBS-HSK-PPLO,Kempegowda Bus Station To Poornaprajna Layout,-1,3
32901,289-LA,Hoskote To Yalahanka Old Town,-1,3
32942,365,Bannerughatta National Park To Kempegowda Bus Station,-1,3
32943,V-12,Kempegowda Bus Station To Banashankari TTMC,-1,3
32944,V-12,Banashankari TTMC To Kempegowda Bus Station,-1,3
32969,BSN-KHBQ,Basavanagara Kengeri To Shirke KHB Quarters,-1,3
32970,G-6 KHBQ-D12G,Shirke KHB Quarters To Depot-12 Gate,-1,3
32976,MNT-NBC-KBS,Mind Tree Global Village Mysore Road To Kempegowda Bus Station,-1,3
32977,95-G,Shivajinagara Bus Station To Shankarnagh Bus Stand,-1,3
32978,95-G,Shankarnagh Bus Stand To Shivajinagara Bus Station,-1,3
32996,346-A,KR Market To Shikaripalya,-1,3
33003,V-500P,ITPL To Chikkallasandra,-1,3
33008,600-FD,Attibele To Vijayanagara TTMC,-1,3
33010,LGR-GGP-VSD-KMT,Laggere New Bus Stand To KR Market,-1,3
33015,210-Q,Shivajinagara Bus Station To Chikkallasandra,-1,3
33016,63 CLO-SBS,Chandra Layout To Shivajinagara Bus Station,-1,3
33017,63 SBS-CLO,Shivajinagara Bus Station To Chandra Layout,-1,3
33018,254-C,KR Market To Kalathammanahalli,-1,3
33020,346-B,KR Market To Doddanagamangala ,-1,3
33025,346-B,Doddanagamangala To KR Market,-1,3
33026,343-L,Kempegowda Bus Station To Hongasandra Mico Layout,-1,3
33028,500-DJ,Yashawanthapura TTMC To Central Silk Board,-1,3
33029,500-DJ,Central Silk Board To Yashawanthapura TTMC,-1,3
33037,KLP-KBS,Karlapura To Kempegowda Bus Station,-1,3
33038,D38G-BKH,Depot-38 Gate To Bikkana Hosahalli,-1,3
33039,BHK-D38G,Bikkana Hosahalli To Depot-38 Gate,-1,3
33040,402-C,Kempegowda Bus Station To Atturu,-1,3
33056,502-CT,Goraguntepalya To KR Puram Railway Station,-1,3
33057,502-CT,KR Puram Railway Station To Goraguntepalya,-1,3
33065,298-MC,Koramangala Devanahalli To Kempegowda Bus Station,-1,3
33067,YPRS-BEML5,Yashawanthapura Railway Station To BEML Layout 5th Stage,-1,3
33068,BEML5-YPRS,BEML Layout 5th Stage To Yashawanthapura Railway Station,-1,3
33070,YPRS-MCTC,Yashawanthapura Railway Station To Mysore Road Bus Station,-1,3
33071,MCTC-YPRS,Mysore Road Bus Station To Yashawanthapura Railway Station,-1,3
33089,287-JA,Kempegowda Bus Station To Coffee Board Layout,-1,3
33091,276-B,Kempegowda Bus Station To Virupakshapura,-1,3
33092,276-B,Virupakshapura To Kempegowda Bus Station,-1,3
33100,240-M,KR Market To Magadi,-1,3
33101,240-M,Magadi To KR Market,-1,3
33116,D10G-ELCW,Depot-10 Gate To Electronic City Wipro Gate,-1,3
33123,HSK-D10G,Hoskote To Depot-10 Gate,-1,3
33125,D10G-YHKOT,Depot-10 Gate To Yalahanka Old Town,-1,3
33134,302,Kalyananagara To Shivajinagara Bus Station,-1,3
33135,302,Shivajinagara Bus Station To Kalyananagara,-1,3
33136,302 KLN-VSD,Kalyananagara To Vidhana Soudha Karnataka High Court,-1,3
33139,JHC-BSK,Jalahalli Cross To Banashankari TTMC,-1,3
33140,BSK-JHC,Banashankari TTMC To Jalahalli Cross,-1,3
33145,BTP-HAL-KBS,Bagmane Tech Park To Kempegowda Bus Station,-1,3
33157,242-B TVK-BSN,Tavarakere To Basaveshwara Nagara New Bus Stand,-1,3
33158,242-B BSN-TVK,Basaveshwara Nagara New Bus Stand To Tavarakere,-1,3
33161,YHKOT-THS-D10G,Yalahanka Old Town To Depot-10 Gate,-1,3
33163,D10G-TNS-YHKOT,Depot-10 Gate To Yalahanka Old Town,-1,3
33167,V-502G HBL-KDG,Hebbala To Kadugodi Bus Station,-1,3
33188,291-L,Shivajinagara Bus Station To Mylanahalli,-1,3
33189,291-L,Mylanahalli To Shivajinagara Bus Station,-1,3
33195,HBL-TNF-HOODI-KDG,Hebbala To Kadugodi Bus Station,-1,3
33198,YTTMC-MLO-JBN,Yashawanthapura TTMC To Jai Bhuvaneshwarinagara,-1,3
33199,78-A KBS-ESI-YTTMC,Kempegowda Bus Station To Yashawanthapura TTMC,-1,3
33203,500-AC,Nelamangala Bus Station To Hebbala Ring Road,-1,3
33204,281-H,KR Market To Mylanahalli,-1,3
33214,210-UB BEML5-KBS,BEML Layout 5th Stage To Kempegowda Bus Station,-1,3
33216,RTNPS-HBL-CJP,RT Nagara Police Station To Chowdeshwarinagara Bus Stand JP Park,-1,3
33217,CJP-HBL-RTNP,Chowdeshwarinagara Bus Stand JP Park To RT Nagara Police Station,-1,3
33221,251-M KBS-KLPP,Kempegowda Bus Station To Karlapurapalya,-1,3
33233,350-D SPN-KBS,Sampige Nagara To Kempegowda Bus Station,-1,3
33234,350-D KBS-SPN,Kempegowda Bus Station To Sampige Nagara,-1,3
33239,286-H,Jakkuru Layout To Shivajinagara Bus Station,-1,3
33246,500-AC,Hebbala To Nelamangala Bus Station,-1,3
33250,289-LA,Yalahanka Old Town To Hoskote,-1,3
33256,89-A CVN-YTTMC,Cauvery Nagara To Yashawanthapura TTMC,-1,3
33258,289-Z,Bande Kodigehalli To Kempegowda Bus Station,-1,3
33259,BSFY-KMT,BSF Yalahanka To KR Market,-1,3
33260,KMT-BSFY,KR Market To BSF Yalahanka,-1,3
33275,234-C,Manganahalli To Kempegowda Bus Station,-1,3
33277,234-C,Kempegowda Bus Station To Manganahalli,-1,3
33278,258-J SRP-KBS,Srinivasapura Nelamangala To Kempegowda Bus Station,-1,3
33286,171-G,Kempegowda Bus Station To Koramangala 1st Block,-1,3
