stop_id,stop_lat,stop_lon,stop_name
3,12.96004656,77.64719738,Kodihalli
5,12.97500273,77.54211521,MC Layout
6,12.97582743,77.60564176,MG Road Metro Station
7,12.91704891,77.62171975,Central Silk Board (Towards Madivala)
8,12.91672959,77.57366674,Banashankari Bus Station (Towards Konanakunte Cross)
9,12.91753106,77.57296011,Banashankari TTMC
10,12.91703282,77.57840196,Sangam Circle
12,12.91730831,77.58357173,5th Block Jayanagara (Towards Jayanagara)
17,12.91693403,77.5932443,Ragigudda Temple
18,12.91684059,77.59719395,East End Jayanagara (Towards BTM Layout)
20,12.91659989,77.60312779,MICO Layout
21,12.91669366,77.60684366,BTM Layout Water Tank
22,12.91649963,77.60642451,BTM Layout Water Tank
23,12.91717183,77.61007499,Udupi Garden Petrol Bunk
25,12.91652707,77.60880393,16th Main BTM Layout 
27,12.9162174,77.61591656,BTM Layout Kuvempu Nagara
28,12.91635662,77.61591532,BTM Layout Kuvempu Nagara 
29,12.91630999,77.62354268,Central Silk Board UFLY
30,12.97183024,77.53791923,Vijayanagara
31,12.96217397,77.56000394,Sirsi Circle
32,12.96366889,77.57736881,KR Market
35,12.90677751,77.62842911,Bommanahalli (Towards Beguru)
36,12.90536003,77.63013142,Bommanahalli (Towards Electronic City)
37,12.89618963,77.63544064,Garvebhavipalya
38,12.88965654,77.63948598,Kudlu Gate
39,12.88985737,77.63965926,Kudlu Gate
40,12.87874432,77.64647488,Singasandra
41,12.87059695,77.65295173,Hosa Road (Towards Electronic City)
42,12.84816925,77.6707112,Electronic City (Towards Attibele)
43,12.85485537,77.66515418,Konappana Agarhara
44,12.85873107,77.66232768,PESIT College Electronic City
45,12.87738903,77.64705927,Singasandra
46,12.89629994,77.63568778,Garvebhavipalya
47,12.90483622,77.63007965,Bommanahalli (Towards St Johns)
48,12.91168823,77.62586568,Rupena Agrahara
49,12.91611715,77.62309375,Central Silk Board (Towards Kuvempunagara)
50,12.92008333,77.62066167,Madivala
51,12.92472759,77.61791906,Ayyappaswamy Temple Madivala
52,12.93201852,77.61325248,Jn of Hosur Road
53,12.93636174,77.60660537,Muneshwara Devasthana
54,12.93868165,77.59831884,Nimhans Hospital
55,12.94382951,77.59709837,Lakkasandra
56,12.9467426,77.59607302,12th Cross Wilson Garden 
57,12.94989829,77.59597146,Wilson Garden Police Station
58,12.95497093,77.591889,Shanthinagara Bus Stop KH Road 
61,12.97472667,77.58691,KR Circle
62,12.96724194,77.58828195,Corporation (Towards KR Market)
63,12.94709538,77.59451345,7th Cross Wilson Garden 
64,12.95459258,77.5925092,Shanthinagara TTMC
65,12.95140577,77.59521987,Wilson Garden Police Station
66,12.94715044,77.59805714,10th Cross Wilson Garden 
67,12.94308106,77.59743743,Lakkasandra
68,12.93643438,77.60661905,Muneshwara Devasthana
69,12.9321567,77.61327778,Jn of Hosur Road
70,12.929492,77.61592831,St Johns Hospital
71,12.92736827,77.62164689,Water Tank Koramangala
72,12.92561867,77.62579801,Kudure Mukha Colony
73,12.9239713,77.62856574,Krupanidhi College
74,12.92160726,77.6214077,Madivala
75,12.91186255,77.62604769,Roopena Agrahara
76,12.93563843,77.60147069,Bengaluru Dairy Circle (Towards Bannerughatta)
77,12.92725733,77.6006887,Ananda Ashrama
78,12.92522667,77.60055896,Coles Road
80,12.91394928,77.60005281,MICO Layout Checkpost Gopalan mall 
81,12.9081699,77.60041709,JP Nagara 3rd Phase
83,12.90077134,77.60110669,Bilekahalli
84,12.8960723,77.59976967,IIM Apollo 
85,12.89226171,77.59883917,HSBC (Towards Arakere Gate)
86,12.89059818,77.59822328,Arakere Gate (Towards BPL)
87,12.88738986,77.59702001,BPL (Towards Hulimavu)
88,12.88075471,77.59590891,Hulimavu Gate (Towards Meenakshi Temple)
89,12.87470152,77.59482719,Meenakshi Temple
90,12.87099571,77.5935365,Loyola School
91,12.86613423,77.59190793,Kalena Agrahara
92,12.86238129,77.59061983,Himagiri
93,12.85668319,77.58893224,Gottigere (Towards Basavanapura Gate)
94,12.85101984,77.58837133,T John College
95,12.84623151,77.58826256,Basavanapura Gate
96,12.83550026,77.59008647,Jn of Malenallasandra 
97,12.83243745,77.58896162,Kalkere
98,12.81925921,77.5847055,Ryan International School
