from_stop_id,to_stop_id,min_transfer_time
3,154,229
3,153,471
3,4742,371
154,153,242
154,4742,142
153,4742,384
6,131,155
7,10326,259
7,10328,217
7,5162,537
7,939,366
7,49,456
7,50,537
7,2236,503
7,29,498
10326,29,262
10326,49,230
10326,50,278
10326,939,191
10326,2236,244
10326,5162,278
10326,10328,42
10328,29,281
10328,49,239
10328,939,149
10328,2236,286
10328,5162,320
10328,50,320
5162,29,540
5162,49,508
5162,939,469
5162,2236,522
5162,50,556
939,29,266
939,49,224
939,2236,292
939,50,469
49,29,95
49,2236,295
49,50,508
50,29,540
50,2236,522
2236,29,390
8,9,113
8,583,149
8,1679,69
8,4140,113
9,583,185
9,1679,142
9,4140,226
583,1679,193
583,4140,185
1679,4140,142
10,8521,223
12,723,25
12,5564,7
12,9291,14
723,5564,25
723,9291,25
5564,9291,7
17,722,11
17,11049,195
17,11952,202
17,18,432
17,721,309
17,9205,383
722,11049,206
722,11952,214
722,18,443
722,721,320
722,9205,394
11049,18,237
11049,721,114
11049,9205,188
11049,11952,12
11952,18,249
11952,721,126
11952,9205,200
18,721,123
18,9205,49
721,9205,74
21,22,58
21,25,193
21,1430,193
21,1432,395
21,11654,1269
21,1456,973
21,1426,1269
21,1428,678
21,23,387
21,1435,678
22,25,251
22,1430,251
22,1432,453
22,11654,1327
22,1456,1031
22,1426,1327
22,1428,736
22,23,445
22,1435,736
25,23,194
25,1432,202
25,11654,1076
25,1456,780
25,1426,1076
25,1428,485
25,1430,386
25,1435,485
1430,23,194
1430,1432,202
1430,11654,1076
1430,1456,780
1430,1426,1076
1430,1428,485
1430,1435,485
1432,23,9
1432,1428,292
1432,1435,292
1432,11654,883
1432,1456,587
1432,1426,883
11654,23,882
11654,1428,591
11654,1435,591
11654,1426,592
11654,1456,296
1456,23,586
1456,1428,295
1456,1435,295
1456,1426,296
1426,23,882
1426,1428,591
1426,1435,591
1428,23,291
1428,1435,582
23,1435,291
30,185,179
30,8375,179
30,191,361
185,191,182
185,8375,358
8375,191,182
31,1813,284
31,1857,191
31,2682,176
31,2688,139
31,2692,233
31,13877,231
31,320,323
31,7427,645
31,5189,480
31,5190,278
31,5191,323
31,11657,518
31,2707,599
31,1812,323
31,2708,691
31,2684,312
31,12541,599
1813,2692,52
1813,5190,284
1813,2688,423
1813,1857,475
1813,320,607
1813,7427,929
1813,5189,764
1813,5191,607
1813,11657,802
1813,2707,883
1813,1812,607
1813,13877,515
1813,2708,975
1813,2682,460
1813,2684,596
1813,12541,883
1857,320,169
1857,1812,169
1857,5189,289
1857,5190,191
1857,5191,169
1857,13877,77
1857,2688,330
1857,7427,491
1857,2692,424
1857,11657,364
1857,2707,445
1857,2708,537
1857,2682,367
1857,2684,503
1857,12541,445
2682,2684,136
2682,2688,37
2682,5190,176
2682,320,499
2682,7427,821
2682,2692,409
2682,5189,656
2682,5191,499
2682,11657,694
2682,2707,775
2682,1812,499
2682,13877,407
2682,2708,867
2682,12541,775
2688,2684,174
2688,5190,139
2688,320,462
2688,7427,784
2688,2692,372
2688,5189,619
2688,5191,462
2688,11657,657
2688,2707,738
2688,1812,462
2688,13877,370
2688,2708,830
2688,12541,738
2692,5190,233
2692,320,556
2692,7427,878
2692,5189,713
