old_trip_id,route_id,trip_id
128431267,40888,40888_1
128431272,44446,44446_3
128431273,39878,39878_0
128431277,40887,40887_0
128431280,31209,31209_1
128431289,40886,40886_1
128431293,31731,31731_0
128431295,44447,44447_0
128431299,31732,31732_0
128431303,40890,40890_0
128431305,31208,31208_1
128431309,44397,44397_0
128431312,40887,40887_1
128431317,40147,40147_0
128431320,44448,44448_1
128431324,31731,31731_1
128431327,40888,40888_0
128431335,40893,40893_0
128431338,44419,44419_5
128431339,44449,44449_0
128431341,40892,40892_1
128431342,31732,31732_1
128431345,40894,40894_0
128431346,44470,44470_5
128431349,39914,39914_0
128431351,31209,31209_0
128431353,44420,44420_6
128431355,44448,44448_3
128431357,40890,40890_1
128431358,31731,31731_2
128431361,46954,46954_16
128431364,44464,44464_1
128431367,40886,40886_0
128431370,31208,31208_0
128431373,44449,44449_2
128431376,23022,23022_0
128431378,39891,39891_0
128431379,46954,46954_7
128431384,32120,32120_2
128431389,31468,31468_0
128431390,31210,31210_0
128431398,31469,31469_2
128431402,39869,39869_1
128431405,39892,39892_0
128431409,31469,31469_1
128431410,31211,31211_1
128431417,31468,31468_2
128431421,39869,39869_11
128431422,39893,39893_0
128431429,31468,31468_1
128431430,31210,31210_1
128431434,31469,31469_3
128431437,39871,39871_1
128431458,46954,46954_34
128431463,31468,31468_3
128431466,32120,32120_1
128431468,36386,36386_0
128431471,42773,42773_2
128431475,39872,39872_8
128431480,32120,32120_0
128431486,44418,44418_3
128431491,31469,31469_0
128431493,23022,23022_2
128431497,31211,31211_0
128431506,44419,44419_20
128431507,44474,44474_0
128431511,42085,42085_1
128431515,46954,46954_27
128431516,39874,39874_4
128431519,44419,44419_0
128431521,26970,26970_3
128431523,34158,34158_0
128431526,44419,44419_4
128431528,44418,44418_33
128431530,39872,39872_0
128431532,44422,44422_14
128431534,44400,44400_1
128431536,44420,44420_19
128431538,46954,46954_1
128431541,34158,34158_1
128431543,44470,44470_2
128431547,44470,44470_7
128431549,39903,39903_0
128431551,44420,44420_0
128431553,26972,26972_3
128431556,34157,34157_0
128431558,44470,44470_13
128431560,44420,44420_7
128431562,46954,46954_32
128431565,44419,44419_2
128431567,44421,44421_12
128431569,44399,44399_0
128431572,44428,44428_0
128431578,34157,34157_1
128431580,44422,44422_5
128431582,44420,44420_15
128431585,39904,39904_0
128431586,44450,44450_0
128431588,26970,26970_4
128431590,42084,42084_0
128431595,44418,44418_2
128431598,26972,26972_1
128431600,44420,44420_3
128431602,44446,44446_7
128431604,44400,44400_2
128431607,44427,44427_0
128431609,44474,44474_1
128431612,44470,44470_6
128431614,41592,41592_0
128431616,44421,44421_7
128431618,44419,44419_16
128431621,44420,44420_20
128431624,44400,44400_0
128431627,44446,44446_8
128431628,42085,42085_0
128431633,46954,46954_5
128431634,26970,26970_2
128431636,44419,44419_6
128431641,44399,44399_1
128431645,39874,39874_0
128431647,44418,44418_20
128431651,44420,44420_12
128431653,44420,44420_17
128431657,39869,39869_5
128431663,42084,42084_1
128431665,44418,44418_30
128431668,44418,44418_12
128431671,26972,26972_2
128431672,40562,40562_1
128431677,44420,44420_2
128431681,46954,46954_20
128431686,44419,44419_9
128431689,44451,44451_0
128431703,44422,44422_12
128431707,33711,33711_0
128431713,44424,44424_1
128431719,40560,40560_0
128431731,44470,44470_0
128431735,44421,44421_10
128431739,33710,33710_1
128431746,44423,44423_1
128431751,42773,42773_0
128431755,32137,32137_0
128431763,40567,40567_0
128431767,44422,44422_4
128431771,44446,44446_5
128431775,33711,33711_1
128431777,40561,40561_1
128431781,47294,47294_1
128431784,44421,44421_1
128431789,31446,31446_0
128431793,47295,47295_0
128431800,44421,44421_4
128431809,33710,33710_2
128431815,47296,47296_0
128431818,44422,44422_7
128431821,40567,40567_1
128431823,32137,32137_2
128431826,47294,47294_0
128431839,39879,39879_3
128431846,44421,44421_8
128431850,33710,33710_0
128431856,47295,47295_1
128431867,40892,40892_0
128431870,44473,44473_2
128431877,47755,47755_0
128431882,44419,44419_10
128431884,44422,44422_8
128431886,44446,44446_9
128431892,42476,42476_0
128431897,44465,44465_2
128431905,44421,44421_9
128431909,44418,44418_22
128431916,44727,44727_0
128431924,9188,9188_0
128431928,44422,44422_13
128431932,39874,39874_9
128431934,44473,44473_4
128431941,44420,44420_10
128431949,44473,44473_0
128431953,44421,44421_11
128431957,44464,44464_2
128431961,44422,44422_10
128431963,44419,44419_8
128431965,42773,42773_1
128431971,44465,44465_1
128431975,44446,44446_6
128431985,44420,44420_13
128431987,44421,44421_3
128431989,44419,44419_19
128431990,39872,39872_6
128431992,44420,44420_11
128431995,44499,44499_0
128431997,26970,26970_6
128431999,39869,39869_3
128432001,44422,44422_6
128432003,46954,46954_30
128432007,39872,39872_4
128432008,44420,44420_14
128432010,39869,39869_0
128432011,44485,44485_2
128432014,44421,44421_13
128432018,44404,44404_0
128432020,39879,39879_0
128432021,39928,39928_1
128432023,44419,44419_14
128432025,39879,39879_2
128432030,26972,26972_6
128432033,42774,42774_0
128432035,44418,44418_44
128432038,44419,44419_13
128432041,44419,44419_12
128432043,44484,44484_3
128432044,44422,44422_18
128432047,44470,44470_3
128432049,44403,44403_0
128432054,39927,39927_1
128432055,44422,44422_16
128432058,44423,44423_0
128432060,26970,26970_0
128432066,46954,46954_2
128432068,44418,44418_29
128432069,26972,26972_4
128432079,44421,44421_18
128432081,39872,39872_9
128432083,44660,44660_0
128432085,44460,44460_0
128432088,36038,36038_0
128432091,44424,44424_0
128432092,44421,44421_14
128432100,26972,26972_0
128432101,39926,39926_0
128432103,44418,44418_10
128432105,44423,44423_3
128432107,26970,26970_5
128432109,44484,44484_0
128432112,44422,44422_0
128432114,44419,44419_17
128432117,39874,39874_3
128432119,44485,44485_1
128432122,44470,44470_8
128432123,36037,36037_0
128432128,44420,44420_21
128432130,26970,26970_1
128432131,39928,39928_0
128432136,46954,46954_15
128432138,44498,44498_0
128432139,26972,26972_5
128432141,44485,44485_0
128432143,44421,44421_0
128432148,44418,44418_32
128432155,36038,36038_1
128432160,44484,44484_2
128432166,44422,44422_15
128432174,44459,44459_0
128432177,44420,44420_4
128432182,39927,39927_0
128432196,40300,40300_1
128432201,44418,44418_6
128432206,31138,31138_0
128432211,44432,44432_2
128432218,44470,44470_9
128432222,39869,39869_7
128432226,44418,44418_17
128432232,31137,31137_2
128432235,39869,39869_10
128432243,46954,46954_25
128432248,44432,44432_1
128432251,42912,42912_0
128432253,42830,42830_0
128432256,46954,46954_10
128432258,31137,31137_1
128432260,44431,44431_2
128432265,44418,44418_26
128432268,39874,39874_8
128432272,31138,31138_1
128432278,44418,44418_39
128432280,44431,44431_1
128432285,44429,44429_3
128432287,40300,40300_2
128432288,44418,44418_16
128432292,39869,39869_8
128432294,44434,44434_0
128432306,31137,31137_3
128432313,44418,44418_0
128432315,46954,46954_37
128432320,44628,44628_0
128432321,44470,44470_4
128432324,44476,44476_0
128432327,42830,42830_1
128432329,39874,39874_6
128432333,44435,44435_0
128432342,44470,44470_12
128432348,31138,31138_2
128432356,46954,46954_3
128432359,44418,44418_8
128432361,39872,39872_2
128432363,44418,44418_19
128432366,44470,44470_11
128432368,42913,42913_0
128432371,40300,40300_0
128432376,44432,44432_0
128432381,46954,46954_38
128432383,44430,44430_3
128432388,31137,31137_0
128432396,44430,44430_1
128432400,46954,46954_11
128432402,39897,39897_0
128432407,44418,44418_28
128432409,36512,36512_0
128432411,39869,39869_4
128432413,44431,44431_0
128432415,31540,31540_3
128432421,44470,44470_14
128432426,39872,39872_3
128432428,31106,31106_6
128432433,39923,39923_0
128432435,44421,44421_19
128432437,39871,39871_2
128432439,46954,46954_4
128432441,31539,31539_3
128432446,35662,35662_2
128432449,44418,44418_25
128432451,39921,39921_0
128432453,31665,31665_0
128432458,44422,44422_1
128432461,31106,31106_3
128432463,44418,44418_11
128432465,31540,31540_0
128432469,46954,46954_26
128432471,44423,44423_2
128432474,31106,31106_0
128432477,44421,44421_2
128432480,31665,31665_4
128432481,39874,39874_2
128432483,31539,31539_0
128432488,44418,44418_38
128432491,44422,44422_17
128432494,31540,31540_2
128432497,42128,42128_0
128432501,44418,44418_14
128432503,31106,31106_5
128432507,31540,31540_1
128432510,46954,46954_39
128432515,44421,44421_16
128432517,31539,31539_2
128432522,31466,31466_0
128432527,31665,31665_5
128432529,31539,31539_1
128432533,44422,44422_20
128432535,44418,44418_1
128432539,44418,44418_31
128432541,39869,39869_6
128432547,31083,31083_6
128432555,46954,46954_13
128432557,31470,31470_2
128432562,44446,44446_0
128432566,44421,44421_17
128432568,39872,39872_5
128432570,46954,46954_29
128432577,31179,31179_6
128432582,44420,44420_8
128432584,31471,31471_0
128432591,44418,44418_42
128432593,39881,39881_0
128432595,44418,44418_41
128432603,31083,31083_0
128432610,40638,40638_1
128432612,31470,31470_0
128432620,37984,37984_0
128432621,31471,31471_2
128432631,35662,35662_0
128432634,34160,34160_0
128432644,31471,31471_1
128432647,35293,35293_3
128432654,31470,31470_1
128432656,44418,44418_9
128432663,46954,46954_19
128432665,31085,31085_0
128432672,39869,39869_2
128432674,31729,31729_3
128432682,31471,31471_3
128432685,46954,46954_14
128432697,39879,39879_1
128432699,31674,31674_0
128432703,41499,41499_0
128432706,32387,32387_1
128432724,31134,31134_0
128432729,32386,32386_2
128432731,31674,31674_2
128432742,44422,44422_3
128432743,31674,31674_1
128432752,44470,44470_15
128432753,32387,32387_0
128432755,31134,31134_2
128432768,39869,39869_9
128432778,32386,32386_0
128432780,31674,31674_3
128432782,35662,35662_1
128432796,32366,32366_0
128432799,31134,31134_3
128432801,32386,32386_1
128432813,47755,47755_1
128432816,46954,46954_0
128432819,42765,42765_1
128432820,44422,44422_11
128432826,42767,42767_0
128432829,32085,32085_0
128432832,44422,44422_2
128432833,31730,31730_1
128432838,44421,44421_15
128432842,23929,23929_0
128432845,44421,44421_5
128432848,31729,31729_2
128432857,44422,44422_19
128432862,31729,31729_0
128432868,44446,44446_1
128432869,32219,32219_0
128432879,31730,31730_0
128432883,31729,31729_4
128432888,44472,44472_0
128432890,44421,44421_6
128432893,31729,31729_1
128436071,19495,19495_65
128436073,19496,19496_45
128436074,19496,19496_75
128436075,19495,19495_70
128436077,19496,19496_59
128436078,19495,19495_75
128436079,19496,19496_73
128436156,43622,43622_45
128436157,14689,14689_8
128436158,14692,14692_7
128436184,41908,41908_74
128436186,41907,41907_85
128436188,41908,41908_91
128436190,41907,41907_102
128436191,41908,41908_90
128436352,45612,45612_10
128436353,45612,45612_15
128436354,45613,45613_13
128436355,45612,45612_9
128436357,31435,31435_3
128436358,45612,45612_13
128436359,45613,45613_10
128436362,45613,45613_14
128436363,45612,45612_11
128436364,45613,45613_11
128436366,45612,45612_14
128436367,45613,45613_12
128436368,45612,45612_8
128436370,45613,45613_15
128436371,45612,45612_12
128436372,45613,45613_9
128664824,30797,30797_0
128664833,27260,27260_3
128664836,27260,27260_7
128664843,27259,27259_3
128664849,27260,27260_4
128664856,27259,27259_5
128664859,34471,34471_0
128664866,27259,27259_0
128664874,29543,29543_1
128664876,19414,19414_7
128664880,32868,32868_22
128664882,19418,19418_0
128664885,32871,32871_0
128664891,19412,19412_12
128664895,19420,19420_1
128664898,20071,20071_0
128664907,19412,19412_6
128664909,20072,20072_1
128664914,19518,19518_16
128664915,19414,19414_5
128664919,32868,32868_17
128664925,23530,23530_7
128664928,19412,19412_9
128664932,26443,26443_14
128664935,26889,26889_0
128664943,44356,44356_1
128664946,19518,19518_0
128664956,31777,31777_2
128664959,23530,23530_1
128664963,47419,47419_0
128664965,44356,44356_3
128664968,19518,19518_6
128664971,31777,31777_3
128664973,23530,23530_6
128664980,44356,44356_5
128664982,19518,19518_9
128664984,23717,23717_0
128664987,26889,26889_1
128664990,31777,31777_4
128665000,24886,24886_3
128665002,26896,26896_2
128665005,3863,3863_2
128665008,3868,3868_0
128665012,24884,24884_4
128665014,32868,32868_10
128665016,3868,3868_2
128665023,3863,3863_0
128665026,24886,24886_5
128665029,26443,26443_9
128665033,3863,3863_3
128665037,26896,26896_1
128665042,32868,32868_19
128665047,24886,24886_2
128665048,3863,3863_1
128665054,26443,26443_15
128665059,24884,24884_2
128665062,3868,3868_1
128665067,27260,27260_2
128665073,19518,19518_2
128665080,27259,27259_4
128665083,27260,27260_1
128665086,23530,23530_3
128665094,27260,27260_5
128665098,27259,27259_1
128665100,19518,19518_8
128665108,20108,20108_0
128665113,27259,27259_6
128665115,27260,27260_0
128665118,23530,23530_9
128665120,34595,34595_0
128665127,27259,27259_2
128665135,23530,23530_0
128665144,20213,20213_0
128665145,20235,20235_0
128665147,21327,21327_1
128665151,23743,23743_1
128665154,32447,32447_0
128665157,21326,21326_1
128665167,10031,10031_1
128665174,44356,44356_4
128665178,14510,14510_0
128665181,20213,20213_1
128665189,20236,20236_0
128665196,21327,21327_0
128665200,9657,9657_0
128665207,32942,32942_3
128665215,21326,21326_0
128665227,34531,34531_15
128665244,24886,24886_8
128665248,22389,22389_22
128665261,23994,23994_3
128665263,24884,24884_8
128665266,34531,34531_32
128665277,24886,24886_9
128665292,24884,24884_9
128665300,23527,23527_0
128665306,24886,24886_10
128665308,24884,24884_6
128665315,19823,19823_2
128665321,26443,26443_18
128665335,20213,20213_2
128665345,20212,20212_0
128665355,31048,31048_0
128665363,32698,32698_0
128665365,18711,18711_3
128665374,21326,21326_2
128665377,27260,27260_11
128665392,21327,21327_2
128665394,27259,27259_11
128665400,27260,27260_8
128665408,21326,21326_3
128665410,19414,19414_10
128665417,27259,27259_7
128665427,19412,19412_15
128665430,27260,27260_10
128665439,21326,21326_4
128665440,19414,19414_13
128665449,27259,27259_9
128665457,19412,19412_17
128665462,23530,23530_17
128665481,26884,26884_4
128665483,23530,23530_18
128665496,19518,19518_14
128665512,23530,23530_15
128665528,19518,19518_18
128665532,27259,27259_8
128665542,27259,27259_13
128665548,34471,34471_1
128665551,19518,19518_17
128665553,27260,27260_9
128665557,23530,23530_11
128665567,19518,19518_11
128665570,23530,23530_16
128665572,27259,27259_10
128665574,19518,19518_13
128665583,23530,23530_13
128665590,27260,27260_12
128665594,23530,23530_14
128665601,19418,19418_4
128665607,27259,27259_12
128665612,27260,27260_6
128665635,3868,3868_4
128665642,44761,44761_7
128665645,22389,22389_52
128665655,25397,25397_6
128665659,34531,34531_63
128665667,44761,44761_8
128665672,24157,24157_1
128665678,25047,25047_2
128665682,3868,3868_3
128665692,44761,44761_5
128665699,3863,3863_4
128665708,25397,25397_5
128665761,3479,3479_4
128665766,3480,3480_2
128665785,21135,21135_5
128665797,21072,21072_1
128665822,21072,21072_6
128665832,21135,21135_1
128665862,21072,21072_3
128665892,21135,21135_3
128665920,21072,21072_5
128665929,26896,26896_3
128665941,19956,19956_8
128665959,29321,29321_9
128665962,9204,9204_0
128665967,20217,20217_0
128665976,19956,19956_13
128665986,29321,29321_4
